city,state,address_1,postal_code,classification,reason_for_recall,product_description,product_quantity,status,dt_report_date,dt_termination_date,report_year,report_month,report_day
Seattle,WA,4301 University Way Ne,98105-5808,Class II,Ice cream grab n go Cup containers' labels do not declare any ingredients including allergens Egg and Milk.,"Sweet Alchemy Lemon Custard ice cream, distributed in cups. Label declares company name, flavor name, but does not declare ingredients and allergens.",8 cups,Terminated,2023-08-16,2023-09-11,2023,8,16
Emeryville,CA,5980 Horton St Ste 200,946082057,Class I,Egg wash is used on the product and is not listed on the ingredient list or allergen statement.,"Blueberry Crostata, 1 pie  Net. Wt. 1 lb. 6 oz (624 g)    UPC: 0216733009993    Whole Foods Market Inc., Emeryville, CA 94608",~110-120 units per week. 19 weeks of product - 2280 total units,Terminated,2013-09-04,2013-08-29,2013,9,4
Bethesda,MD,6905 Rockledge Dr,20817-1828,Class I,Ultra Tuna Salad in a Cup label does not declare egg.,"Ultra Tuna Salad Cup, brand DishD'Lish, packaged in  plastic cup.  Label declares Housemade Albacore Tuna Salad, Arugula, Cucumber and Cherry Tomatoes.",19 cups,Terminated,2023-05-31,2023-05-25,2023,5,31
Berkeley,CA,2001 Addison St Ste 300,94704-1165,Class I,Affected lots of Vegan Shoyu Ramen meal kits used egg noodles which contain egg. The allergen of egg is not listed on the product label.,"Ramen Hero - Vegan Shoyu ramen (Hippie Van) Ramen noodles in a soy sauce infused vegan broth with a vegan meat ragu, roasted tomato, bell pepper and zucchini blend, and seaweed. Kits are in a frosted meal kit stand up pouch.    Net Wt. 20.05 oz. (1.25 lb.) 568 g    UPC: 60003    Contains: Soy, Treenut (coconut) Wheat, Sulfites.    Distributed by: Ramen Hero, 2001 Addison St. Suite 300, Berkeley, CA 94704",1416 units,Terminated,2022-05-18,2022-06-29,2022,5,18
Linden,NJ,710 West Linden Avenue,07036,Class I,The firm's Pista Khatie cookies with use by date 16 May 14 were tested by the Canadian Food Inspection Agency (CFIA) and found to contain 70 ppm of undeclared egg allergen. The label for this product states that it does not contain eggs.,"KCB Pista Khatie  KCB Bakery Products Corp.  56-28 56th Street, Maspeth, NY 11378  Tel: (718) 786-9463 Fax (718) 361-0171  www.kbcusa.com    a) Net Wt. 30 OZ (850 G)    b) Net Wt. 13 OZ (369 G)    Packaged in a plastic clam shell container with stick-on labels.",24 cases x 12 plastic clam shell boxes; 15 cases x  13 clam shel boxes,Terminated,2013-11-13,2016-04-19,2013,11,13
Austin,TX,601 N Lamar Blvd Ste 300,78703-5424,Class I,Undeclared milk and egg,"Whole Foods Market - Vegan Croissant 4 Count CONTAINS WHEAT, SOY May contain other allergens due to shared production areas, NET WT 0lb 11oz (312g) PLU 69435 packaged in clear plastic container",8 units,Terminated,2021-09-22,2021-12-08,2021,9,22
Austin,TX,550 Bowie St,78703-4644,Class I,Potential to contain undeclared egg,"Chicken Rustico Romano Chef Plate with Mac & Cheese and Broccoli, packaged in clear plastic container with printed label product code begins with 241442",580.91units (total of all products),Terminated,2020-12-02,2020-12-04,2020,12,2
Houston,TX,2777 Allen Pkwy,77019-2107,Class I,Undeclared egg.  One lot Ronzoni Thin Spaghetti contained Ronzoni Egg Fettuccine.,"Ronzoni(R) Thin Spaghetti, NO. 9, ENRICHED MACARONI PRODUCT, NET WT 16 OA (454g)., UPC 71300 00009",7320 units,Terminated,2017-04-26,2017-08-22,2017,4,26
Austin,TX,550 Bowie St,78703-4644,Class I,Undeclared lysozyme (from egg whites),Whole Foods Market Mitica La Dama Sagrada Raw Milk - Aged 60 Days or More PLU  20656400000 Individual sliced cheese wrapped in plastic wrap with scale label on top.,43 lbs,Terminated,2020-09-09,2020-11-03,2020,9,9
Harrisburg,PA,7505 Grayson Rd,17111-5146,Class I,"Undeclared allergens (milk, wheat, fish (anchovy) and egg.","Fresh Express Hearts of Romaine salad, 9 oz., clear/labeled salad bag/ 6 bags per case",100 cases x 6 bags (600/9.oz bags),Terminated,2017-01-25,2017-09-12,2017,1,25
Inver Grove Heights,MN,6085 Claude Way,55076-4432,Class I,undeclared egg,"J&O Mixed Veggie Cup with Dip, Net Weight 5.0 oz. (128 g), UPC  95631-85818.  Mfg By:  RDW, Pueblo CO 81001",380 units,Terminated,2020-11-18,2020-11-25,2020,11,18
Springfield,MO,1133 E Kearney St,65803-3435,Class I,"The firm has received complaints of an egg nog flavor in half gallons of chocolate milk. Egg nog is manufactured at the same plant. The egg nog contains egg ingredients, but the chocolate milk does not declare egg on the label.","Hiland Chocolate Milk, 1/2 gallon (1.89 L). Hiland Dairy Springfield, MO 65803","1,151 half-gallons",Terminated,2019-01-23,2019-03-04,2019,1,23
Seattle,WA,4301 University Way Ne,98105-5808,Class II,Ice cream grab n go Pint and Cup containers' labels do not declare any ingredients including allergens Egg and Milk.,"Sweet Alchemy Vanilla Cubed ice cream, distributed in cups and pints. Label declares company name, flavor name, but does not declare ingredients and allergens.",4 pints and 6 cups,Terminated,2023-08-16,2023-09-11,2023,8,16
Seattle,WA,4301 University Way Ne,98105-5808,Class II,"Ice cream grab n go Pint and Cup containers' labels do not declare any ingredients including allergens Egg, Milk, and Wheat.","Sweet Alchemy Strawberry Rhubarb Crisp ice cream, distributed in cups and pints. Label declares company name, flavor name, but does not declare ingredients and allergens.",4 pints and 8 cups,Terminated,2023-08-16,2023-09-11,2023,8,16
Gardena,CA,1650 W El Segundo Blvd,90249-2010,Class I,Undeclared allergen; egg.,"Ottogi Ppushu Ppushu Grilled Chicken Flavor  3.17oz x 40ea  Item #21503006  Manufactured by: Ottogi Ramyon Co. Ltd.  Distributed by: Ottogi America, Inc. 1650 W. El Segundo Bl. Gardena, CA 90249","1,594,338 units",Terminated,2019-03-06,2019-04-26,2019,3,6
Duluth,GA,3245 N Berkeley Lake Rd Nw,30096-3054,Class I,Undeclared Allergen: Egg,"Poco Pac Salad Dressing, Distributed by Diamond Crystal Brands, Inc., Savannah, GA 31405, and packaged in single serve packets of 9 or 12 grams (g) of product. Product is packed as follows: 500 ct-9g (Product Code: 86251), 200ct-9g (Product Code: 86242) and 200 ct-12g (Product Code: 86228).","48,143 cases/200 ct/9 gram pack per case",Terminated,2014-06-18,2014-08-20,2014,6,18
Houston,TX,333 Northpark Central Dr,77073-6336,Class I,Undeclared egg,"Lean Pro 8 Chocolate 2,268g (5lb) Tub and Lean Pro 8 Chocolate 1,000g (2.2lb) Tub",2976 units,Terminated,2018-05-16,2018-10-19,2018,5,16
Portland,OR,301 Se 2nd Ave,97214,Class I,Product is recalled due to undeclared egg.,"Spicy Shrimp Tempura Crunch Roll, Mai brand, packed in container with clear plastic lid,net wt. 9.1 oz., UPC 8 12824 01526 5.    The label is read in parts: ""***MAI SPICY SHRIMP TEMPURA CRUNCH ROLL  ***KEEP REFRIGERATED***Allergen: SOY, WHEAT, SHELLFISH***""dist by Mai Sushi 2 Penn Center, Suite 725, 1500 JFK Blvd Philadelphia, PA***",35 pkg. crunch roll,Terminated,2019-07-03,2019-07-19,2019,7,3
Seoul,,3 104 Opaesan-ro,,Class II,"Undeclared allergens of egg, milk, and wheat","Samyang Buldak Extremely Spicy Hot Chicken Flavor Sauce  Hot Chili Sauce  Net Wt. 200 g (7.05 oz)  Product of Korea  UPC: 8 801073 411395    Ingredients: Water, Artificial chicken flavor powder (artificial flavor, dextrin, sugar, red pepper powder, yeast powder, chili pepper powder, modified potato starch, egg, curry powder [turmeric powder, dextrin, salt, milk]), Corn syrup, Artificial flavor, Soy sauce (soy, water, salt, wheat, high fructose corn syrup), Soybean oil, Onion, Garlic, Decolorized chili extract, Paprika extract, Lactobacillus fermented powder, Green tea flavor oil (water, polyglycerin fatty acid ester, tea catechin, dextrin)  Allergen: Egg, Milk, Soy, Wheat  (Missing allergens declared from the label: egg, milk, and wheat)      Manufactured by: Samyang Foods Co. Ltd. Seoul, Korea","8,430 boxes (210,750 bottles)",Terminated,2021-02-03,2021-06-15,2021,2,3
Bayonne,NJ,100 Pulaski St,07002-5003,Class I,The recall was initiated after it was discovered the label failed to list the common name Albumin as egg; also the species of fish was not declared in the ingredient statement.,"Lam Sheng Kee, Frozen White Fish Ball - Fresh Fish Cake, Net Weight 7 oz (200 G) - Sheng Lin Mark Trade Co. LTD 4 F. No 89, Ln. 528 Heping Road, Bade City, Taoyuan County 334, Taiwan (ROC).  Distributed by: Win Luck Trading Inc. 100 Pulaski Street, Bayonne, NJ  07002.    UPC 6949682804589",Unknown,Terminated,2013-05-29,2015-03-02,2013,5,29
Corsica,SD,280 E. Main Street,57328,Class I,Sandwiches contain undeclared egg and milk.,"Dakota Tom's and Market Fresh branded Chicken Salad Croissant sandwiches.  Net Wt. 6.5 oz. UPC 37296-10100, Dakota Toms, Box  271, Corsica, SD  57328.",2000 sandwiches,Ongoing,2021-12-29,,2021,12,29
Louisville,CO,185 S 104th St,80027-9736,Class II,Izzio Artisan Bakery is voluntarily recalling a particular lot of Lemon Poppy Muffins because the product is undercooked and may contain undercooked egg.,Izzio Artisan Bakery Rev Lem/Poppy Muffins 3.5oz packaged individually and put into cardboard case with 90 muffins per case,"340 cases (30,600 individual muffins)",Terminated,2015-03-11,2015-07-02,2015,3,11
Farmers Branch,TX,4436 Mcewen Rd,75244-5205,Class II,Potential to contain undeclared egg,"UnTortillas Grain Free * 3 g of non-fibre carbs * 210g 6 tortillas per bag, 8 packages per case.  UPC# 40628250179024 packaged in flexible plastic",471 cases,Terminated,2021-04-07,2021-12-06,2021,4,7
Cincinnati,OH,1014 Vine St,45202-1141,Class I,Undeclared egg allergen for Chipotle Crema on product label.,Chicken Street Taco kit in a plastic tray with a clear plastic lid.,"5,387 units.",Terminated,2021-06-16,2021-06-21,2021,6,16
Wittenberg,WI,203 N Genesee St,54499-9154,Class II,"Coffee cake may contain undeclared wheat, egg, and milk.","Blueberry Blizzard Coffee Cake,  Item 259, Net Wt. 24 oz.",18 units,Terminated,2021-02-03,2021-03-19,2021,2,3
Seattle,WA,4301 University Way Ne,98105-5808,Class II,Ice cream grab n go Pint containers' labels do not declare any ingredients including allergens Egg and Milk.,"Sweet Alchemy Strawberry ice cream, distributed in pints.  Label declares company name, flavor name, but does not declare ingredients and allergens.",15 pints,Terminated,2023-08-16,2023-09-11,2023,8,16
Miami,FL,1864 Nw 22nd St,33142-7444,Class I,"Undeclared Egg, Yellow #5, Red #40, and Blue #1.","Vanilla Flavor Imitation (White), Net Contents 128 FL. OZS. (1 Gallon)",2566 gallons,Terminated,2021-10-06,2022-02-11,2021,10,6
Rock Valley,IA,1438 Main St,51247-1224,Class I,Bakery products which contain an ingredient which contain egg do not declare egg on the label,"Sno-Flake Buns, Valley Bakery, Rock Valley, IA, 12 count. UPC 290713203606, packaged in clear plastic bags",9 retail packages,Terminated,2017-05-03,2017-07-17,2017,5,3
Gardena,CA,1650 W El Segundo Blvd,90249-2010,Class I,Undeclared allergen; egg.,"Ottogi BuckwheatChilli Noodle PK  1lb 6.93oz x 8pk  Item #32143061  Manufactured by: Ottogi Ramyon Co. Ltd.  Distributed by: Ottogi America, Inc. 1650 W. El Segundo Bl. Gardena, CA 90249","1,594,338 units",Terminated,2019-03-06,2019-04-26,2019,3,6
Sterling,VA,22445 Sous Vide Ln,20166-9382,Class II,Undeclared egg and milk,"JUST Egg Inspired by India Curry, Broccoli, Cauliflower, Coconut Milk, Lemongrass 4 Sous Vide Plant Egg Bites NET WT8.4OZ (238g). UPC: 0504402511, Expiration dates 3/5/2022, 3/31/2022, and 4/9/2022.16 cartons per corrugated case, Carton GTIN 7 05044 02511 7  Case Bar Code 10 7050 440 25114",780 cases,Terminated,2021-07-07,2022-03-30,2021,7,7
Oak Brook,IL,2021 Spring Rd Ste 500,60523-1859,Class I,Undeclared allergen: Egg.,"Crispers Honey Lime Dressing, 1 GL, Distributed by Bay Valley Foods, LLC, Oak Brook, IL 60523",36 cases (4 X 1 GL),Terminated,2016-04-13,2016-04-11,2016,4,13
Eden Prairie,MN,7500 Flying Cloud Dr Ste 500,55344-3703,Class II,Milk Specialties Global is recalling 2 lots of MuscleTech Amino Build Fruit Punch due to potential cross contamination with egg protein.,"MuscleTech Amino Build,  Fruit Punch flavored,  Net Wt. 0.58 lbs (261g) UPC 31646-70392 and Net Wt. 0.96 lbs (435g) UPC 31656-70479","9,149 bottles",Terminated,2014-08-13,2015-05-22,2014,8,13
Rock Valley,IA,1438 Main St,51247-1224,Class I,Bakery products which contain an ingredient which contain egg do not declare egg on the label,"Apple Tea Ring, Valley Bakery, Rock Valley, IA, 1 count. UPC 290400306006, packaged in clear plastic bags",Unknown,Terminated,2017-05-03,2017-07-17,2017,5,3
Austin,TX,550 Bowie St,78703-4644,Class I,Potential to contain undeclared egg,"BBQ Turkey Meatballs Chef Plate with Mac & Cheese and Green Beans, packaged in clear plastic container with printed label product code begins with 241464",580.91units (total of all products),Terminated,2020-12-02,2020-12-04,2020,12,2
West Monroe,LA,131 Frost Commerical Dr,71292-2479,Class I,Pre-portioned sugar cookie dough contains undeclared milk and pre-portioned walnut chocolate chunk cookie dough contains undeclared egg.,Crazy about Cookies 2lb DSC Custom Decorated Sugar Cookies Item # 101-2207 thru 101- 2355  UPC Code - None,647 units,Terminated,2016-01-13,2017-08-03,2016,1,13
Newark,NJ,60 Mcclellan St,07114-2112,Class II,Undeclared Egg Allergen,"Damascus Bakery, Bantam Classic Bagels, 6/1.3 oz pieces per carton (7.8 oz), Paper Carton .",232 cases,Terminated,2022-03-30,2022-08-03,2022,3,30
Florham Park,NJ,12 Vreeland Rd Fl 2,07932-0697,Class II,"Gerber Products Company is recalling Cheese Ravioli  Gerber¿ Pasta Pick-Ups¿ because the egg allergen is missing from the ""Contains"" statement.","Gerber¿ Pasta Pick-Ups Cheese Ravioli     Net Wt 6 oz (170g) Drained Wt 3 oz (85g)      UPC 01500000907-6 , Truncated - written on package as: UPC 159070","99,032 cases (8 units per case)",Terminated,2017-04-19,2018-02-14,2017,4,19
Attleboro,MA,711 Park St,02703-3211,Class I,Product contains undeclared allergen-egg yolk,"J.J. LAWSON CHOCOLATE CHOC. CHIP ICE CREAM, 3 gallon round container",59/3 gallon units,Terminated,2017-08-16,2017-09-05,2017,8,16
Pittsburgh,PA,101 Kappa Dr,15238-2809,Class I,"On 3/20/2015, it was discovered that the labels for Raisin Filled Cookie, served over the counter at retail Eagle and affiliate stores, did not declare the milk allergen. Milk was not included on the labels which state ""contains: egg, wheat, soy.""","Raisin Filled Cookie OTC  Sell By: (all dates up to) 3/23/2015  Net WT. 1 OZ  Contains:Egg, Wheat, Soy  ;   OTC Raisin Filled Cookie  Sell By: (all dates up to) 3/23/2015  Net WT 2 OZ  Contains: Egg, Wheat Soy  ;   Cookies affected are only sold direct from bakery counter and packaged at time per customer request and packed either in clam shell plastic or wax paper.  ;   Net Weight on label may differ depending on number of cookies a customer requested. Net Weights listed above are for 1 cookie.",Raisin filled: 4294 UNITS,Terminated,2015-06-10,2015-08-17,2015,6,10
Snohomish,WA,21106 86th Ave SE,98296-7904,Class I,Egg Nog custard is being recalled due to the potential to be contaminated with Listeria monocytogenes.,"Egg Nog custard, unknown brand and unknown container type.  No UPC.",8 containers,Terminated,2015-07-08,2016-02-23,2015,7,8
Chester,VT,926 Vermont Rt 103 S,05143,Class I,Undeclared milk and egg allergen.,"Field Day Organic Ranch Dressing packaged in an 8 fl. oz. glass bottle, UPC #042563600242. The lot code is located on the back of the bottle above the label. Specifically, the front label of the affected product is correctly labeled Field Day Organic Ranch Dressing, 8 fl oz. The issue is some bottles have an incorrect back label such that the contains statement does not list milk and egg as allergens. These bottles can be identified by UPC# 042563600259.",,Terminated,2016-12-14,2017-08-15,2016,12,14
Emeryville,CA,5980 Horton St Ste 200,94608-2057,Class I,"Some decorated (iced) Easter cookies in the shapes of eggs, bunnies and chicks sold in bulk bins in 9 northern CA Whole Foods locations do not properly declare egg as an ingredient or allergen.","Decorated (iced holiday cookies sold from self service cookie displays - cookies in the shape of eggs, bunnies and chicks.  The signage by the displays do not declare egg as an ingredient of the cookies.    Cookies are received in a 9 lb. bag    Correct Ingredients: Unbleached, Unbromated Wheat Flour (Wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid), Cane Sugar, Palm Fruit Oil, Cage Free Eggs, Vanilla, Water, cream of Tartar, Baking Soda, Corn starch, dextrose, natural flavoring.    Signs at all locations have been changed.    Cookies were sold in 9 Bay area, CA Whole Food locations.",750 cookies (approximately),Terminated,2018-05-02,2018-06-08,2018,5,2
Chicago,IL,5569 W. Northwest Highway,60630,Class II,"Undeclared Allergens - Egg, Milk, and Wheat",Chicago Sweet Connections: Coffee Cake - Strawberry Flavor packaged in an aluminum rectangular tray with plastic dome lid Single pack - 6 servings,6,Terminated,2022-03-16,2022-03-18,2022,3,16
Brisbane,CA,201 S Hill Dr,94005-1204,Class I,Undeclared allergen; egg.,Small 12 -3 Flavor Assorted Mooncake Gift Box Small 12- 4 Flavor Assorted Mooncake Gift Box Small 12- 6 Flavor Assorted Mooncake Tin Gift Box Small 6- 3 Flavor Assorted Mooncake Gift Box Small 9- 3 Flavor Assorted Mooncake Gift Box Assorted Large 4 Mooncake Gift Box,,Ongoing,2023-10-25,,2023,10,25
Beaverton,OR,15570 SW Jenkins Rd,97006-6003,Class II,Undeclared Wheat and/or Egg.  The bottom label of Macaroni Salad Amish was mis-labeled as Red Potatoes salad or Baked Beans.    The label of the Red Potatoes salad declares EGG only but does not declare WHEAT.  The label of the Baked Beans does not declare EGG and WHEAT.,"Freshness Guaranteed Macaroni Salad Amish, item # 579284, refrigerated, packaged in a clear cup with clear snap on lid, net wt. 32 oz. UPC 0 78742 13235 8. Each master case containing 6/32 oz. packages. Distributed by: Walmart Inc, Bentonville, AR.     The CORRECT label is read in parts: ""***FRESHNESS GUARANTEED MACACONI SALAD Amish *** INGREDIENTS: COOKED ENRICHED MACARONI (SEMOLINA, EGG WHITES ***), HARD COOKED EGG***CONTAINS EGGS AND WHEAT***"".      The INCORRECT bottom label is read parts: ""***INGREDIENTS: BEANS***RED PEPPER POWDER***"".      The INCORRECT bottom label is read parts: ""***INGREDIENTS: RED POTATOES, MAYONNAISE (***EGG YOLK***)*** CONTAINS EGGS ***"".","Total 16,614/32 oz. Packages or 2769 Cases (6/32 oz. packages per case)",Terminated,2021-04-28,2021-06-08,2021,4,28
Chicago,IL,5569 W. Northwest Highway,60630,Class II,"Undeclared Allergens - Egg, Milk, and Wheat",Chicago Sweet Connections: Coffee Cake - Custard Flavor packaged in an aluminum rectangular tray with plastic dome lid Single pack - 6 servings,11,Terminated,2022-03-16,2022-03-18,2022,3,16
Nampa,ID,216 8th St N,83687-3029,Class I,HyVee Cheddar Cheese Stuffed Jalapenos is recalled due to undeclared egg.,"HyVee Cheddar Cheese Stuffed Jalapenos. Product is breaded jalapeno stuffed with cheddar cheese designed to be cooked in either the oven or a fryer. The package contains a clear inner plastic sealed bag with the food product, inside a cardboard larger carton. The net weight is 8 ounces, and packed 12 units per case.  The UPC is  0 75450 14989 0.    The product is labeled in parts: ""***HyVee cheddar cheese stuffed jalapenos***jalapenos stuffed with cheddar cheese in a crispy breading***ovenable keep frozen***NET WT 8 OZ (227 g)***CONTAINS: WHEAT, MILK***PROCESSED IN A FACILITY THAT ALSO PROCESSES EGG AND SOY***DISTRIBUTED BY HY-VEE, INC. 5820 WESTOWN PARKWAY WEST DEMOINES, IA 50266***1-800-289-8343***"".",180 cases (12/8 oz. packages per case),Terminated,2014-12-31,2015-01-26,2014,12,31
Santa Fe Springs,CA,13409 Orden Dr,90670-6336,Class II,"Some chocolate products imported from Japan do not have the English label for Nutrition facts, ingredients or allergens, which include milk, soy, egg, tree nuts.","CHOCOLATE KINOKO NO YAMA MEIJI, 2.61 oz.  Item number 65879    UPC 074410658793 - only on those bars with English labeling.    Distributed by Wismettac Asian Foods, Inc.",40 cases (10 individual items in inner carton) x 8 / master case,Terminated,2019-06-19,2019-07-05,2019,6,19
Framingham,MA,866 Waverly St,01702-6843,Class I,"Product labeling on Trader Giotto's Caesar Salad with Caesar Dressing may not list wheat, soy, egg and fish (anchovy) allergens.","TRADER GIOTTO'S CAESAR SALAD with Caesar Dressing, NET WT. 8/5 OZ (241g).",509 units,Terminated,2014-05-21,2017-02-09,2014,5,21
Eugene,OR,1150 Owen Loop S,97402-9199,Class I,Sesame Noodle Salad Vegan is recalled due to undeclared egg.,"Sesame Noodle Salad Vegan, packaged in 8 oz. or 16 oz. plastic container.    UPC of  8 oz. container:  0 211630 203994.  UPC of 16 oz. container: 0 211637 807492.    The label is read in parts: ""***SESAME NOODLE SALAD VEGAN***Soba Noodles (wheat, our, buckwheat, tapioca starch, salt, water), Dressing (Toasted Sesame Oil, Soy Sauce (water, hydrolyzed soy protein, salt, molasses, caramel color, sodium benzoate), Sriracha (Chili, sugar, salt, garlic, distilled vinegar, potassium sorbate, sodium bisulfite, xanthan gum), Ginger, Garlic, Sugar), Carrot, Daikon Radish, Green Onions, White & Black Sesame Seeds). ***CONTAINS: WHEAT, SOY***"".",559/8 oz. packages and 775/16 oz packages,Terminated,2018-09-26,2018-11-05,2018,9,26
Rock Valley,IA,1438 Main St,51247-1224,Class I,Bakery products which contain an ingredient which contain egg do not declare egg on the label,"Cinnamon Swirl Crimp Bread, Valley Bakery, Rock Valley, IA, 1 count. UPC 290113203607, packaged in clear plastic bags",2 retail packages,Terminated,2017-05-03,2017-07-17,2017,5,3
Glendale,CA,601 Vine St,912041417,Class I,"Sugar Flowers Plus Inc of Glendale, CA is recalling Cake Decors Pastillage (gum paste) Flowers because of the undeclared use of egg white wash as a glue for the inner petals of flowers.",Pastillage (gum paste) Flowers,,Terminated,2013-01-23,2013-09-13,2013,1,23
Sandpoint,ID,100 Litehouse Dr,83864-0528,Class I,OPA by Litehouse Ranch was recalled due to undeclared egg.,"OPA by Litehouse Ranch, 6/11.25 oz. glass round bottles per case.   The retail label listed item #48246 and has the UPC 0 77661 15022 1.    The UPC on master case outer label is  01 1 0077661 13948 3.    The recalled product's retail label is read in  parts:  ""***OPA BY LITEHOUSE*** ranch *** GREEK YOGURT DRESSING***11.25 FL OZ***48246***CONTAINS: MILK***"".    The recalled product's master case outer label is read in parts: ""***OPA RANCH***KEEP REFRIGERATED***Pack 6/11FL ***Item #:13846***"".",742 cases (6 bottles per case),Terminated,2017-09-13,2017-12-05,2017,9,13
Fife,WA,7214 26th St E C-102,98424-3773,Class I,"The Ingredients statement declared wheat, and egg but the Contains statement declared only wheat.  Product contains butter but label does not declare milk.","COOKIES ""PRINCESA"", 	product is packaged in plastic clamshells container, Net Weight: 454g (16 OZ). UPC: 8 51929 00359 3       The label is read in parts: ""***COOKIES ""PRINCESA"" *** INGREDIENTS: WHEAT FLOUR (WHEAT FLOUR, NIACIN, REDUCE IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID, EGGS, SUGAR, VANILLA*** Contains: Wheat***"".",1379 packages,Terminated,2017-04-05,2018-07-23,2017,4,5
Sunbury,PA,1000 S 2nd St,17801-3318,Class I,Label did not list sub-ingredients for mayo and sour cream. It contains undeclared egg and milk. The firm found a 2nd PLU which was not corrected. Recall of Weis Dried Beef Party Rye Dip was expanded to include 2nd PLU.,"Dried Beef Party Rye  Dip; Ingredients: Hellman's Mayonaise, Sour Cream, Dried Beef (Cured with Water, Salt, Sugar,  Sodium Nitrate, Sodium Nitrite), Parsley, Onion, Dill Weed; SELL BY date up to 3/11/18",300 units,Terminated,2018-03-28,2018-10-12,2018,3,28
New Oxford,PA,304 Commerce St,17350-1723,Class I,The product has been recalled due to undeclared (allergen) egg,"Whole Foods Spinach Artichoke Dip ,4-12 oz containers, Lot # 248   Manufactured on 7/8/2020 Use By: 07/26/2020",71 cases (284 saleable units),Terminated,2020-08-05,2021-08-10,2020,8,5
Santa Fe Springs,CA,13409 Orden Dr,90670-6336,Class II,"Some chocolate products imported from Japan do not have the English label for Nutrition facts, ingredients or allergens, which include milk, soy, egg, tree nuts.","CHOCOLATE TAKENOKO NO SATO MEIJI (Chocolate wheat snack, 2.46 oz.  Item number 65880    UPC 074410658809 - only on those bars with English labeling.     Distributed by Wismettac Asian Foods, Inc.",94 cases (10 individual items in inner carton) x 8 / master case,Terminated,2019-06-19,2019-07-05,2019,6,19
Camarillo,CA,1320 Flynn Rd Ste B,93012-8744,Class I,Undeclared allergen; egg,"Fine Sconehenge Baking Company, Lemon Raspberry Scone, individually sealed plastic bag",,Ongoing,2023-11-08,,2023,11,8
Pittsburgh,PA,101 Kappa Dr,15238-2809,Class I,Products contain undeclared egg.,"CHEESE DANISH 2 COUNT;  PLU: 59779;  NET WT 6.0 oz.;  CONTAINS: WHEAT, SOY, MILK;    In clear plastic clamshell","27, 928 units",Terminated,2015-05-06,2015-05-27,2015,5,6
Kent,WA,8030 S 228th St,98032-2987,Class I,Real Foods of Seattle is recalling Mexican Cheddar Dip due to the absence of egg in the ingredient statement.,"Mexican Cheddar Dip 10oz non-flex plastic, distributed by Taylor Farms Salinas, CA 93902.    The label will show UPC 0 3022300960 9 or UPC 0 30223 00952 8",96 units,Terminated,2014-11-05,2014-11-05,2014,11,5
Cherry Hill,NJ,121 Woodcrest Rd,08003-3620,Class I,The recall was initiated after learning from a retail customer that a limited number of bottles were mislabeled. The product contains milk and egg not declared on the bottle.,Wish Bone House Italian Salad Dressing 15 oz.,"7,768 cases",Terminated,2018-07-18,2021-11-17,2018,7,18
Willernie,MN,106 Wildwood Rd,55090-7711,Class I,Sandwiches may contain undeclared egg.,"Earle of Sandwiches X-Large Roast Beef Italiano, Italian Roast Beef & Swiss Cheese on Garlic Pepper French Bread.  Net Wt. 10.25 oz (297g), UPC 97256 14340, Keep Refrigerated.  Earle of Sandwiches, Willernie, MN  55090",2040 units,Terminated,2021-10-13,2022-04-21,2021,10,13
Leavenworth,WA,10171 Chumstick Hwy,98826-8762,Class II,"Undeclared Wheat, Milk, Egg, Soy, or Sesame on retail packaged bread products due to no ingredient statements.","Olive Bread (Kalamata olives), Bosket Bread brand.  The Net weight of the products range from 1-1.5 lbs. No UPC.    Product is packaged in food grade plastic bag with the black Bosket Bread logo sticker on the front,  but without the ingredients statement affixed on a package.",3 units,Terminated,2022-01-19,2022-01-10,2022,1,19
Fife,WA,7214 26th St E C-102,98424-3773,Class I,"The Ingredients statement declared wheat, and egg but the Contains statement declared only wheat.  Product contains butter but label does not declare milk.","COOKIES PRINCE, product is packaged in plastic clamshells container, Net Weight: 454g (16 OZ), UPC: 8 51929 00360 9   	  The label is read in parts: ""***COOKIES ""PRINCE"" *** INGREDIENTS: WHEAT FLOUR (WHEAT FLOUR, NIACIN, REDUCE IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID, EGGS, SUGAR*** Contains: Wheat***"".",783 packages,Terminated,2017-04-05,2018-07-23,2017,4,5
Portland,OR,1300 Se Stark St Ste 401,97214-2473,Class III,Honey Oat Bran Muffin is recalled because the Contains statement does not declare EGG.,"Honey Oat Bran Muffin, 4-pack, packaged in a clear clamshell container, net wt. 13.6 oz., UPC 8 40600 10954 9",199 packages (4 pieces per package),Terminated,2018-07-04,2018-06-29,2018,7,4
Albert Lea,MN,2110 Yh Hanson Ave,56007-3406,Class II,Firm is recalling various Egg Salads and Potato Salads because they may contain undeclared traces of imitation crab meat,"Mrs. Gerry's Knowlan's Homestyle Potato Salad Net Wt. 12 lbs. (5.44 kg), UPC 17839-22912.  Keep Refrigerated.  Manufactured by Mrs. Gerry's, Albert Lea, MN  56007","1,056 lbs.",Terminated,2018-04-25,2019-06-21,2018,4,25
